date,arena,age_group,home,away,parallel_slot
2026-09-06,Jarhallen,U11,Jar 1,Jutul 1,0
2026-09-06,Jarhallen,U11,Frisk Asker 1,Sandefjord 1,1
2026-09-06,Jarhallen,U11,Sandefjord 1,Jar 1,0
2026-09-06,Jarhallen,U11,Frisk Asker 1,Jutul 1,1
2026-09-06,Jarhallen,U11,Jar 1,Frisk Asker 1,0
2026-09-06,Jarhallen,U11,Sandefjord 1,Jutul 1,1
2026-09-12,Kongsberghallen,U10,Frisk Asker 2,Sandefjord 1,0
2026-09-12,Kongsberghallen,U10,Holmen 1,Kongsberg 1,1
2026-09-12,Kongsberghallen,U10,Skien 1,Ringerike 1,2
2026-09-12,Kongsberghallen,U10,Sandefjord 1,Jar 2,0
2026-09-12,Kongsberghallen,U10,Ringerike 1,Frisk Asker 2,1
2026-09-12,Kongsberghallen,U10,Skien 1,Holmen 1,2
2026-09-12,Kongsberghallen,U10,Jar 2,Kongsberg 1,0
2026-09-12,Kongsberghallen,U10,Sandefjord 1,Ringerike 1,1
2026-09-12,Kongsberghallen,U10,Frisk Asker 2,Holmen 1,2
2026-09-12,Kongsberghallen,U10,Ringerike 1,Jar 2,0
2026-09-12,Kongsberghallen,U10,Skien 1,Kongsberg 1,1
2026-09-12,Kongsberghallen,U10,Holmen 1,Sandefjord 1,2
2026-09-12,Kongsberghallen,U10,Jar 2,Skien 1,0
2026-09-12,Kongsberghallen,U10,Ringerike 1,Holmen 1,1
2026-09-12,Kongsberghallen,U10,Kongsberg 1,Frisk Asker 2,2
2026-09-12,Kongsberghallen,U10,Holmen 1,Jar 2,0
2026-09-12,Kongsberghallen,U10,Frisk Asker 2,Skien 1,1
2026-09-12,Kongsberghallen,U10,Sandefjord 1,Kongsberg 1,2
2026-09-12,Kongsberghallen,U10,Jar 2,Frisk Asker 2,0
2026-09-12,Kongsberghallen,U10,Skien 1,Sandefjord 1,1
2026-09-12,Kongsberghallen,U10,Ringerike 1,Kongsberg 1,2
2026-09-12,Kongsberghallen,U10,(Pause),Jar 2,
2026-09-12,Kongsberghallen,U10,(Pause),Kongsberg 1,
2026-09-12,Kongsberghallen,U10,(Pause),Skien 1,
2026-09-12,Kongsberghallen,U10,(Pause),Frisk Asker 2,
2026-09-12,Kongsberghallen,U10,(Pause),Sandefjord 1,
2026-09-12,Kongsberghallen,U10,(Pause),Ringerike 1,
2026-09-12,Kongsberghallen,U10,(Pause),Holmen 1,
2026-09-13,Kongsberghallen,U12,Frisk Asker 1,Kongsberg 1,0
2026-09-13,Kongsberghallen,U12,Holmen 1,Jutul 1,1
2026-09-13,Kongsberghallen,U12,Kongsberg 1,Jar 3,0
2026-09-13,Kongsberghallen,U12,Holmen 1,Frisk Asker 1,1
2026-09-13,Kongsberghallen,U12,Jar 3,Jutul 1,0
2026-09-13,Kongsberghallen,U12,Kongsberg 1,Holmen 1,1
2026-09-13,Kongsberghallen,U12,Holmen 1,Jar 3,0
2026-09-13,Kongsberghallen,U12,Frisk Asker 1,Jutul 1,1
2026-09-13,Kongsberghallen,U12,Jar 3,Frisk Asker 1,0
2026-09-13,Kongsberghallen,U12,Jutul 1,Kongsberg 1,1
2026-09-13,Kongsberghallen,U12,(Pause),Jar 3,
2026-09-13,Kongsberghallen,U12,(Pause),Jutul 1,
2026-09-13,Kongsberghallen,U12,(Pause),Frisk Asker 1,
2026-09-13,Kongsberghallen,U12,(Pause),Kongsberg 1,
2026-09-13,Kongsberghallen,U12,(Pause),Holmen 1,
2026-09-20,Baerum ishall,JU10,Jar 1,Kongsberg 1,0
2026-09-20,Baerum ishall,JU10,Frisk Asker 1,Jutul 1,1
2026-09-20,Baerum ishall,JU10,Jutul 1,Jar 1,0
2026-09-20,Baerum ishall,JU10,Frisk Asker 1,Kongsberg 1,1
2026-09-20,Baerum ishall,JU10,Jar 1,Frisk Asker 1,0
2026-09-20,Baerum ishall,JU10,Jutul 1,Kongsberg 1,1
2026-09-20,Holmenkollen ishall,JU11,Frisk Asker 1,Kongsberg 1,0
2026-09-20,Holmenkollen ishall,JU11,Kongsberg 1,Jar 1,0
2026-09-20,Holmenkollen ishall,JU11,Jar 1,Frisk Asker 1,0
2026-09-20,Holmenkollen ishall,JU11,(Pause),Jar 1,
2026-09-20,Holmenkollen ishall,JU11,(Pause),Frisk Asker 1,
2026-09-20,Holmenkollen ishall,JU11,(Pause),Kongsberg 1,
2026-09-20,Ringerikshallen,U7,Jar 1,Kongsberg 1,0
2026-09-20,Ringerikshallen,U7,Frisk Asker 1,Jutul 1,1
2026-09-20,Ringerikshallen,U7,Jutul 1,Jar 1,0
2026-09-20,Ringerikshallen,U7,Frisk Asker 1,Kongsberg 1,1
2026-09-20,Ringerikshallen,U7,Jar 1,Frisk Asker 1,0
2026-09-20,Ringerikshallen,U7,Jutul 1,Kongsberg 1,1
2026-09-20,Sandefjord ishall,U8,Frisk Asker 1,Kongsberg 1,0
2026-09-20,Sandefjord ishall,U8,Jutul 1,Holmen 1,1
2026-09-20,Sandefjord ishall,U8,Kongsberg 1,Jar 1,0
2026-09-20,Sandefjord ishall,U8,Jutul 1,Frisk Asker 1,1
2026-09-20,Sandefjord ishall,U8,Jar 1,Holmen 1,0
2026-09-20,Sandefjord ishall,U8,Kongsberg 1,Jutul 1,1
2026-09-20,Sandefjord ishall,U8,Jutul 1,Jar 1,0
2026-09-20,Sandefjord ishall,U8,Frisk Asker 1,Holmen 1,1
2026-09-20,Sandefjord ishall,U8,Jar 1,Frisk Asker 1,0
2026-09-20,Sandefjord ishall,U8,Holmen 1,Kongsberg 1,1
2026-09-20,Sandefjord ishall,U8,(Pause),Jar 1,
