date,arena,age_group,host_club,team_count,game_count,furthest_travel,cancelled,cancellation_reason
2026-09-06,Jarhallen,U11,Jar,4,6,Frisk Asker 1~14km,nei,
2026-09-12,Kongsberghallen,U10,Kongsberg,7,21,Ringerike 1~85km,nei,
2026-09-13,Kongsberghallen,U12,Kongsberg,5,10,Jar 3~75km,nei,
2026-09-20,Baerum ishall,JU10,Jutul,4,6,Kongsberg 1~73km,nei,
2026-09-20,Holmenkollen ishall,JU11,Holmen,3,3,Kongsberg 1~64km,nei,
2026-09-20,Ringerikshallen,U7,Ringerike,4,6,Kongsberg 1~85km,nei,
2026-09-20,Sandefjord ishall,U8,Sandefjord Penguins,5,10,Jar 1~114km,nei,
2026-09-26,Varner Arena,U11,Frisk Asker,4,6,Skien 1~109km,nei,
2026-09-27,Jarhallen,U10,Jar,7,21,Skien 1~122km,nei,
2026-10-03,Varner Arena,JU12,Frisk Asker,2,1,Kongsberg 1~62km,nei,
2026-10-03,Varner Arena,U9,Frisk Asker,6,15,Kongsberg 1~62km,nei,
2026-10-10,Varner Arena,U12,Frisk Asker,5,10,Kongsberg 1~62km,nei,
2026-10-11,Jarhallen,U11,Jar,4,6,Kongsberg 1~75km,nei,
2026-10-18,Jarhallen,U10,Jar,7,21,Skien 1~122km,nei,
2026-10-24,Varner Arena,U9,Frisk Asker,6,15,Kongsberg 1~62km,nei,
2026-10-25,Jarhallen,U11,Jar,4,6,Skien 1~122km,nei,
2026-10-31,Varner Arena,JU10,Frisk Asker,4,6,Kongsberg 1~62km,nei,
2026-10-31,Varner Arena,JU12,Frisk Asker,2,1,Kongsberg 1~62km,nei,
2026-10-31,Varner Arena,U7,Frisk Asker,4,6,Kongsberg 1~62km,nei,
2026-11-01,Varner Arena,JU11,Frisk Asker,3,3,Kongsberg 1~62km,nei,
2026-11-01,Ringerikshallen,U8,Ringerike,5,10,Kongsberg 1~85km,nei,
2026-11-07,Varner Arena,U12,Frisk Asker,5,10,Kongsberg 1~62km,nei,
2026-11-08,Jarhallen,U10,Jar,7,21,Skien 1~122km,nei,
2026-11-14,Varner Arena,U11,Frisk Asker,4,6,Skien 1~109km,nei,
2026-11-22,Jarhallen,U9,Jar,6,15,Kongsberg 1~75km,nei,
2026-11-28,Varner Arena,U11,Frisk Asker,4,6,Ringerike 1~50km,nei,
2026-11-29,Kongsberghallen,U10,Kongsberg,7,21,Ringerike 1~85km,nei,
2026-12-05,Varner Arena,U12,Frisk Asker,5,10,Kongsberg 1~62km,nei,
2026-12-06,Varner Arena,JU12,Frisk Asker,2,1,Kongsberg 1~62km,nei,
2026-12-12,Varner Arena,JU10,Frisk Asker,4,6,Kongsberg 1~62km,nei,
2026-12-12,Varner Arena,JU11,Frisk Asker,3,3,Kongsberg 1~62km,nei,
2026-12-12,Varner Arena,U11,Frisk Asker,4,6,Skien 1~109km,nei,
2026-12-12,Varner Arena,U7,Frisk Asker,4,6,Kongsberg 1~62km,nei,
2026-12-12,Varner Arena,U8,Frisk Asker,5,10,Kongsberg 1~62km,nei,
2026-12-13,Jarhallen,U10,Jar,7,21,Skien 1~122km,nei,
2026-12-13,Varner Arena,U11,Frisk Asker,4,6,Skien 1~109km,nei,
2027-01-09,Varner Arena,U10,Frisk Asker,7,21,Skien 1~109km,nei,
2027-01-09,Varner Arena,U12,Frisk Asker,5,10,Kongsberg 1~62km,nei,
2027-01-09,Varner Arena,U9,Frisk Asker,6,15,Kongsberg 1~62km,nei,
2027-01-16,Varner Arena,U11,Frisk Asker,4,6,Jar 4~14km,nei,
2027-01-17,Baerum ishall,JU11,Jutul,3,3,Kongsberg 1~73km,nei,
2027-01-17,Kongsberghallen,U7,Kongsberg,4,6,Jar 1~75km,nei,
2027-01-17,Jarhallen,U8,Jar,5,10,Kongsberg 1~75km,nei,
2027-01-24,Varner Arena,U12,Frisk Asker,5,10,Kongsberg 1~62km,nei,
2027-01-30,Varner Arena,U10,Frisk Asker,7,21,Skien 1~109km,nei,
2027-02-06,Varner Arena,JU10,Frisk Asker,4,6,Kongsberg 1~62km,nei,
2027-02-06,Varner Arena,U11,Frisk Asker,4,6,Skien 1~109km,nei,
2027-02-06,Varner Arena,U9,Frisk Asker,6,15,Kongsberg 1~62km,nei,
2027-02-07,Varner Arena,JU12,Frisk Asker,2,1,Kongsberg 1~62km,nei,
2027-02-14,Baerum ishall,U11,Jutul,4,6,Ringerike 1~44km,nei,
2027-02-20,Varner Arena,U10,Frisk Asker,7,21,Skien 1~109km,nei,
2027-02-21,Holmenkollen ishall,U12,Holmen,5,10,Kongsberg 1~64km,nei,
2027-02-27,Varner Arena,JU12,Frisk Asker,2,1,Kongsberg 1~62km,nei,
2027-02-28,Varner Arena,U11,Frisk Asker,4,6,Skien 1~109km,nei,
2027-02-28,Baerum ishall,U7,Jutul,4,6,Kongsberg 1~73km,nei,
2027-03-06,Varner Arena,JU10,Frisk Asker,4,6,Kongsberg 1~62km,nei,
2027-03-06,Varner Arena,JU11,Frisk Asker,3,3,Kongsberg 1~62km,nei,
2027-03-06,Varner Arena,U8,Frisk Asker,5,10,Kongsberg 1~62km,nei,
2027-03-07,Jarhallen,U10,Jar,7,21,Skien 1~122km,nei,
2027-03-07,Varner Arena,U9,Frisk Asker,6,15,Kongsberg 1~62km,nei,
2027-03-14,Baerum ishall,U10,Jutul,7,21,Skien 1~121km,nei,
2027-03-14,Kongsberghallen,U11,Kongsberg,4,6,Ringerike 1~85km,nei,
2027-03-14,Holmenkollen ishall,U12,Holmen,5,10,Kongsberg 1~64km,nei,
2027-04-10,Varner Arena,JU10,Frisk Asker,4,6,Kongsberg 1~62km,nei,
2027-04-10,Varner Arena,JU11,Frisk Asker,3,3,Kongsberg 1~62km,nei,
2027-04-10,Varner Arena,U11,Frisk Asker,4,6,Kongsberg 1~62km,nei,
2027-04-10,Varner Arena,U7,Frisk Asker,4,6,Kongsberg 1~62km,nei,
2027-04-10,Varner Arena,U8,Frisk Asker,5,10,Kongsberg 1~62km,nei,
2027-04-11,Kongsberghallen,JU12,Kongsberg,2,1,Jar 1~75km,nei,
2027-04-11,Holmenkollen ishall,U9,Holmen,6,15,Kongsberg 1~64km,nei,
2027-04-17,Varner Arena,U12,Frisk Asker,5,10,Kongsberg 1~62km,nei,
2027-04-18,Sandefjord ishall,U10,Sandefjord Penguins,7,21,Ringerike 1~150km,nei,
2027-04-18,Skien ishall,U11,Skien,4,6,Ringerike 1~147km,nei,
