date,arena,age_group,home,away,parallel_slot
2026-09-06,Jarhallen,U10,Jar 1,Kongsberg 1,0
2026-09-06,Jarhallen,U10,Frisk Asker 1,Ringerike 1,1
2026-09-06,Jarhallen,U10,Sandefjord 1,Skien 1,2
2026-09-06,Jarhallen,U10,Jutul 1,Holmen 1,0
2026-09-06,Jarhallen,U10,Ringerike 1,Jar 1,0
2026-09-06,Jarhallen,U10,Skien 1,Kongsberg 1,1
2026-09-06,Jarhallen,U10,Holmen 1,Frisk Asker 1,2
2026-09-06,Jarhallen,U10,Jutul 1,Sandefjord 1,0
2026-09-06,Jarhallen,U10,Jar 1,Skien 1,0
2026-09-06,Jarhallen,U10,Ringerike 1,Holmen 1,1
2026-09-06,Jarhallen,U10,Kongsberg 1,Jutul 1,2
2026-09-06,Jarhallen,U10,Frisk Asker 1,Sandefjord 1,0
2026-09-06,Jarhallen,U10,Holmen 1,Jar 1,0
2026-09-06,Jarhallen,U10,Jutul 1,Skien 1,1
2026-09-06,Jarhallen,U10,Sandefjord 1,Ringerike 1,2
2026-09-06,Jarhallen,U10,Frisk Asker 1,Kongsberg 1,0
2026-09-06,Jarhallen,U10,Jar 1,Jutul 1,0
2026-09-06,Jarhallen,U10,Holmen 1,Sandefjord 1,1
2026-09-06,Jarhallen,U10,Skien 1,Frisk Asker 1,2
2026-09-06,Jarhallen,U10,Ringerike 1,Kongsberg 1,0
2026-09-06,Jarhallen,U10,Sandefjord 1,Jar 1,0
2026-09-06,Jarhallen,U10,Frisk Asker 1,Jutul 1,1
2026-09-06,Jarhallen,U10,Kongsberg 1,Holmen 1,2
2026-09-06,Jarhallen,U10,Ringerike 1,Skien 1,0
2026-09-06,Jarhallen,U10,Jar 1,Frisk Asker 1,0
2026-09-06,Jarhallen,U10,Sandefjord 1,Kongsberg 1,1
2026-09-06,Jarhallen,U10,Jutul 1,Ringerike 1,2
2026-09-06,Jarhallen,U10,Holmen 1,Skien 1,0
2026-09-26,Varner Arena,U11,Jar 2,Jutul 1,0
2026-09-26,Varner Arena,U11,Frisk Asker 2,Sandefjord 1,1
2026-09-26,Varner Arena,U11,Ringerike 2,Tønsberg 1,0
2026-09-26,Varner Arena,U11,Sandefjord 1,Jar 2,0
2026-09-26,Varner Arena,U11,Tønsberg 1,Jutul 1,1
2026-09-26,Varner Arena,U11,Ringerike 2,Frisk Asker 2,0
2026-09-26,Varner Arena,U11,Jar 2,Tønsberg 1,0
2026-09-26,Varner Arena,U11,Sandefjord 1,Ringerike 2,1
2026-09-26,Varner Arena,U11,Jutul 1,Frisk Asker 2,0
2026-09-26,Varner Arena,U11,Ringerike 2,Jar 2,0
2026-09-26,Varner Arena,U11,Frisk Asker 2,Tønsberg 1,1
2026-09-26,Varner Arena,U11,Jutul 1,Sandefjord 1,0
2026-09-26,Varner Arena,U11,Jar 2,Frisk Asker 2,0
2026-09-26,Varner Arena,U11,Ringerike 2,Jutul 1,1
2026-09-26,Varner Arena,U11,Tønsberg 1,Sandefjord 1,0
2026-10-11,Ringerikshallen,U10,Jar 3,Sandefjord 1,0
2026-10-11,Ringerikshallen,U10,Frisk Asker 3,Kongsberg 1,1
2026-10-11,Ringerikshallen,U10,Holmen 1,Tønsberg 1,2
2026-10-11,Ringerikshallen,U10,Ringerike 2,Skien 1,0
2026-10-11,Ringerikshallen,U10,Kongsberg 1,Jar 3,0
2026-10-11,Ringerikshallen,U10,Tønsberg 1,Sandefjord 1,1
2026-10-11,Ringerikshallen,U10,Skien 1,Frisk Asker 3,2
2026-10-11,Ringerikshallen,U10,Ringerike 2,Holmen 1,0
2026-10-11,Ringerikshallen,U10,Jar 3,Tønsberg 1,0
2026-10-11,Ringerikshallen,U10,Kongsberg 1,Skien 1,1
2026-10-11,Ringerikshallen,U10,Sandefjord 1,Ringerike 2,2
2026-10-11,Ringerikshallen,U10,Frisk Asker 3,Holmen 1,0
2026-10-11,Ringerikshallen,U10,Skien 1,Jar 3,0
2026-10-11,Ringerikshallen,U10,Ringerike 2,Tønsberg 1,1
2026-10-11,Ringerikshallen,U10,Holmen 1,Kongsberg 1,2
2026-10-11,Ringerikshallen,U10,Frisk Asker 3,Sandefjord 1,0
2026-10-11,Ringerikshallen,U10,Jar 3,Ringerike 2,0
2026-10-11,Ringerikshallen,U10,Skien 1,Holmen 1,1
2026-10-11,Ringerikshallen,U10,Tønsberg 1,Frisk Asker 3,2
2026-10-11,Ringerikshallen,U10,Kongsberg 1,Sandefjord 1,0
2026-10-11,Ringerikshallen,U10,Holmen 1,Jar 3,0
2026-10-11,Ringerikshallen,U10,Frisk Asker 3,Ringerike 2,1
2026-10-11,Ringerikshallen,U10,Sandefjord 1,Skien 1,2
2026-10-11,Ringerikshallen,U10,Kongsberg 1,Tønsberg 1,0
2026-10-11,Ringerikshallen,U10,Jar 3,Frisk Asker 3,0
2026-10-11,Ringerikshallen,U10,Holmen 1,Sandefjord 1,1
2026-10-11,Ringerikshallen,U10,Ringerike 2,Kongsberg 1,2
2026-10-11,Ringerikshallen,U10,Skien 1,Tønsberg 1,0
2026-10-25,Sandefjord,U11,Jar 4,Holmen 1,0
2026-10-25,Sandefjord,U11,Frisk Asker 1,Jutul 1,1
2026-10-25,Sandefjord,U11,Ringerike 2,Tønsberg 1,0
2026-10-25,Sandefjord,U11,Jutul 1,Jar 4,0
2026-10-25,Sandefjord,U11,Tønsberg 1,Holmen 1,1
2026-10-25,Sandefjord,U11,Ringerike 2,Frisk Asker 1,0
2026-10-25,Sandefjord,U11,Jar 4,Tønsberg 1,0
2026-10-25,Sandefjord,U11,Jutul 1,Ringerike 2,1
2026-10-25,Sandefjord,U11,Holmen 1,Frisk Asker 1,0
2026-10-25,Sandefjord,U11,Ringerike 2,Jar 4,0
2026-10-25,Sandefjord,U11,Frisk Asker 1,Tønsberg 1,1
2026-10-25,Sandefjord,U11,Holmen 1,Jutul 1,0
2026-10-25,Sandefjord,U11,Jar 4,Frisk Asker 1,0
2026-10-25,Sandefjord,U11,Ringerike 2,Holmen 1,1
2026-10-25,Sandefjord,U11,Tønsberg 1,Jutul 1,0
2026-11-14,Baerum ishall,U10,Jar 5,Holmen 1,0
2026-11-14,Baerum ishall,U10,Frisk Asker 2,Jutul 1,1
2026-11-14,Baerum ishall,U10,Ringerike 1,Kongsberg 1,2
2026-11-14,Baerum ishall,U10,Skien 1,Tønsberg 1,0
2026-11-14,Baerum ishall,U10,Jutul 1,Jar 5,0
2026-11-14,Baerum ishall,U10,Kongsberg 1,Holmen 1,1
2026-11-14,Baerum ishall,U10,Tønsberg 1,Frisk Asker 2,2
2026-11-14,Baerum ishall,U10,Skien 1,Ringerike 1,0
2026-11-14,Baerum ishall,U10,Jar 5,Kongsberg 1,0
2026-11-14,Baerum ishall,U10,Jutul 1,Tønsberg 1,1
2026-11-14,Baerum ishall,U10,Holmen 1,Skien 1,2
2026-11-14,Baerum ishall,U10,Frisk Asker 2,Ringerike 1,0
2026-11-14,Baerum ishall,U10,Tønsberg 1,Jar 5,0
2026-11-14,Baerum ishall,U10,Skien 1,Kongsberg 1,1
2026-11-14,Baerum ishall,U10,Ringerike 1,Jutul 1,2
2026-11-14,Baerum ishall,U10,Frisk Asker 2,Holmen 1,0
2026-11-14,Baerum ishall,U10,Jar 5,Skien 1,0
2026-11-14,Baerum ishall,U10,Tønsberg 1,Ringerike 1,1
2026-11-14,Baerum ishall,U10,Kongsberg 1,Frisk Asker 2,2
2026-11-14,Baerum ishall,U10,Jutul 1,Holmen 1,0
2026-11-14,Baerum ishall,U10,Ringerike 1,Jar 5,0
2026-11-14,Baerum ishall,U10,Frisk Asker 2,Skien 1,1
2026-11-14,Baerum ishall,U10,Holmen 1,Tønsberg 1,2
2026-11-14,Baerum ishall,U10,Jutul 1,Kongsberg 1,0
2026-11-14,Baerum ishall,U10,Jar 5,Frisk Asker 2,0
2026-11-14,Baerum ishall,U10,Ringerike 1,Holmen 1,1
2026-11-14,Baerum ishall,U10,Skien 1,Jutul 1,2
2026-11-14,Baerum ishall,U10,Tønsberg 1,Kongsberg 1,0
2026-11-28,Holmenkollen ishall,U11,Jar 6,Skien 1,0
2026-11-28,Holmenkollen ishall,U11,Frisk Asker 3,Sandefjord 1,1
2026-11-28,Holmenkollen ishall,U11,Ringerike 1,Jutul 1,0
2026-11-28,Holmenkollen ishall,U11,Sandefjord 1,Jar 6,0
2026-11-28,Holmenkollen ishall,U11,Jutul 1,Skien 1,1
2026-11-28,Holmenkollen ishall,U11,Ringerike 1,Frisk Asker 3,0
2026-11-28,Holmenkollen ishall,U11,Jar 6,Jutul 1,0
2026-11-28,Holmenkollen ishall,U11,Sandefjord 1,Ringerike 1,1
2026-11-28,Holmenkollen ishall,U11,Skien 1,Frisk Asker 3,0
2026-11-28,Holmenkollen ishall,U11,Ringerike 1,Jar 6,0
2026-11-28,Holmenkollen ishall,U11,Frisk Asker 3,Jutul 1,1
2026-11-28,Holmenkollen ishall,U11,Skien 1,Sandefjord 1,0
2026-11-28,Holmenkollen ishall,U11,Jar 6,Frisk Asker 3,0
2026-11-28,Holmenkollen ishall,U11,Ringerike 1,Skien 1,1
2026-11-28,Holmenkollen ishall,U11,Jutul 1,Sandefjord 1,0
2026-12-13,Skien ishall,U10,Jar 7,Skien 1,0
2026-12-13,Skien ishall,U10,Frisk Asker 1,Holmen 1,1
2026-12-13,Skien ishall,U10,Ringerike 1,Sandefjord 1,2
2026-12-13,Skien ishall,U10,Tønsberg 1,Kongsberg 1,0
2026-12-13,Skien ishall,U10,Holmen 1,Jar 7,0
2026-12-13,Skien ishall,U10,Sandefjord 1,Skien 1,1
2026-12-13,Skien ishall,U10,Kongsberg 1,Frisk Asker 1,2
2026-12-13,Skien ishall,U10,Tønsberg 1,Ringerike 1,0
2026-12-13,Skien ishall,U10,Jar 7,Sandefjord 1,0
2026-12-13,Skien ishall,U10,Holmen 1,Kongsberg 1,1
2026-12-13,Skien ishall,U10,Skien 1,Tønsberg 1,2
2026-12-13,Skien ishall,U10,Frisk Asker 1,Ringerike 1,0
2026-12-13,Skien ishall,U10,Kongsberg 1,Jar 7,0
2026-12-13,Skien ishall,U10,Tønsberg 1,Sandefjord 1,1
2026-12-13,Skien ishall,U10,Ringerike 1,Holmen 1,2
2026-12-13,Skien ishall,U10,Frisk Asker 1,Skien 1,0
2026-12-13,Skien ishall,U10,Jar 7,Tønsberg 1,0
2026-12-13,Skien ishall,U10,Kongsberg 1,Ringerike 1,1
2026-12-13,Skien ishall,U10,Sandefjord 1,Frisk Asker 1,2
2026-12-13,Skien ishall,U10,Holmen 1,Skien 1,0
2026-12-13,Skien ishall,U10,Ringerike 1,Jar 7,0
2026-12-13,Skien ishall,U10,Frisk Asker 1,Tønsberg 1,1
2026-12-13,Skien ishall,U10,Skien 1,Kongsberg 1,2
2026-12-13,Skien ishall,U10,Holmen 1,Sandefjord 1,0
2026-12-13,Skien ishall,U10,Jar 7,Frisk Asker 1,0
2026-12-13,Skien ishall,U10,Ringerike 1,Skien 1,1
2026-12-13,Skien ishall,U10,Tønsberg 1,Holmen 1,2
2026-12-13,Skien ishall,U10,Kongsberg 1,Sandefjord 1,0
2027-01-09,Kongsberghallen,U11,Jar 1,Jutul 1,0
2027-01-09,Kongsberghallen,U11,Frisk Asker 2,Sandefjord 1,1
2027-01-09,Kongsberghallen,U11,Ringerike 2,Kongsberg 1,0
2027-01-09,Kongsberghallen,U11,Sandefjord 1,Jar 1,0
2027-01-09,Kongsberghallen,U11,Kongsberg 1,Jutul 1,1
2027-01-09,Kongsberghallen,U11,Ringerike 2,Frisk Asker 2,0
2027-01-09,Kongsberghallen,U11,Jar 1,Kongsberg 1,0
2027-01-09,Kongsberghallen,U11,Sandefjord 1,Ringerike 2,1
2027-01-09,Kongsberghallen,U11,Jutul 1,Frisk Asker 2,0
2027-01-09,Kongsberghallen,U11,Ringerike 2,Jar 1,0
2027-01-09,Kongsberghallen,U11,Frisk Asker 2,Kongsberg 1,1
2027-01-09,Kongsberghallen,U11,Jutul 1,Sandefjord 1,0
2027-01-09,Kongsberghallen,U11,Jar 1,Frisk Asker 2,0
2027-01-09,Kongsberghallen,U11,Ringerike 2,Jutul 1,1
2027-01-09,Kongsberghallen,U11,Kongsberg 1,Sandefjord 1,0
2027-01-16,Tonsberghallen,U10,Jar 2,Skien 1,0
2027-01-16,Tonsberghallen,U10,Frisk Asker 3,Jutul 1,1
2027-01-16,Tonsberghallen,U10,Ringerike 1,Tønsberg 1,2
2027-01-16,Tonsberghallen,U10,Holmen 1,Kongsberg 1,0
2027-01-16,Tonsberghallen,U10,Jutul 1,Jar 2,0
2027-01-16,Tonsberghallen,U10,Tønsberg 1,Skien 1,1
2027-01-16,Tonsberghallen,U10,Kongsberg 1,Frisk Asker 3,2
2027-01-16,Tonsberghallen,U10,Holmen 1,Ringerike 1,0
2027-01-16,Tonsberghallen,U10,Jar 2,Tønsberg 1,0
2027-01-16,Tonsberghallen,U10,Jutul 1,Kongsberg 1,1
2027-01-16,Tonsberghallen,U10,Skien 1,Holmen 1,2
2027-01-16,Tonsberghallen,U10,Frisk Asker 3,Ringerike 1,0
2027-01-16,Tonsberghallen,U10,Kongsberg 1,Jar 2,0
2027-01-16,Tonsberghallen,U10,Holmen 1,Tønsberg 1,1
2027-01-16,Tonsberghallen,U10,Ringerike 1,Jutul 1,2
2027-01-16,Tonsberghallen,U10,Frisk Asker 3,Skien 1,0
2027-01-16,Tonsberghallen,U10,Jar 2,Holmen 1,0
2027-01-16,Tonsberghallen,U10,Kongsberg 1,Ringerike 1,1
2027-01-16,Tonsberghallen,U10,Tønsberg 1,Frisk Asker 3,2
2027-01-16,Tonsberghallen,U10,Jutul 1,Skien 1,0
2027-01-16,Tonsberghallen,U10,Ringerike 1,Jar 2,0
2027-01-16,Tonsberghallen,U10,Frisk Asker 3,Holmen 1,1
2027-01-16,Tonsberghallen,U10,Skien 1,Kongsberg 1,2
2027-01-16,Tonsberghallen,U10,Jutul 1,Tønsberg 1,0
2027-01-16,Tonsberghallen,U10,Jar 2,Frisk Asker 3,0
2027-01-16,Tonsberghallen,U10,Ringerike 1,Skien 1,1
2027-01-16,Tonsberghallen,U10,Holmen 1,Jutul 1,2
2027-01-16,Tonsberghallen,U10,Kongsberg 1,Tønsberg 1,0
2027-01-31,Jarhallen,U11,Jar 3,Tønsberg 1,0
2027-01-31,Jarhallen,U11,Frisk Asker 1,Sandefjord 1,1
2027-01-31,Jarhallen,U11,Ringerike 1,Jutul 1,0
2027-01-31,Jarhallen,U11,Sandefjord 1,Jar 3,0
2027-01-31,Jarhallen,U11,Jutul 1,Tønsberg 1,1
2027-01-31,Jarhallen,U11,Ringerike 1,Frisk Asker 1,0
2027-01-31,Jarhallen,U11,Jar 3,Jutul 1,0
2027-01-31,Jarhallen,U11,Sandefjord 1,Ringerike 1,1
2027-01-31,Jarhallen,U11,Tønsberg 1,Frisk Asker 1,0
2027-01-31,Jarhallen,U11,Ringerike 1,Jar 3,0
2027-01-31,Jarhallen,U11,Frisk Asker 1,Jutul 1,1
2027-01-31,Jarhallen,U11,Tønsberg 1,Sandefjord 1,0
2027-01-31,Jarhallen,U11,Jar 3,Frisk Asker 1,0
2027-01-31,Jarhallen,U11,Ringerike 1,Tønsberg 1,1
2027-01-31,Jarhallen,U11,Jutul 1,Sandefjord 1,0
2027-02-14,Jarhallen,U10,Jar 4,Tønsberg 1,0
2027-02-14,Jarhallen,U10,Frisk Asker 2,Holmen 1,1
2027-02-14,Jarhallen,U10,Skien 1,Sandefjord 1,2
2027-02-14,Jarhallen,U10,Ringerike 2,Kongsberg 1,0
2027-02-14,Jarhallen,U10,Holmen 1,Jar 4,0
2027-02-14,Jarhallen,U10,Sandefjord 1,Tønsberg 1,1
2027-02-14,Jarhallen,U10,Kongsberg 1,Frisk Asker 2,2
2027-02-14,Jarhallen,U10,Ringerike 2,Skien 1,0
2027-02-14,Jarhallen,U10,Jar 4,Sandefjord 1,0
2027-02-14,Jarhallen,U10,Holmen 1,Kongsberg 1,1
2027-02-14,Jarhallen,U10,Tønsberg 1,Ringerike 2,2
2027-02-14,Jarhallen,U10,Frisk Asker 2,Skien 1,0
2027-02-14,Jarhallen,U10,Kongsberg 1,Jar 4,0
2027-02-14,Jarhallen,U10,Ringerike 2,Sandefjord 1,1
2027-02-14,Jarhallen,U10,Skien 1,Holmen 1,2
2027-02-14,Jarhallen,U10,Frisk Asker 2,Tønsberg 1,0
2027-02-14,Jarhallen,U10,Jar 4,Ringerike 2,0
2027-02-14,Jarhallen,U10,Kongsberg 1,Skien 1,1
2027-02-14,Jarhallen,U10,Sandefjord 1,Frisk Asker 2,2
2027-02-14,Jarhallen,U10,Holmen 1,Tønsberg 1,0
2027-02-14,Jarhallen,U10,Skien 1,Jar 4,0
2027-02-14,Jarhallen,U10,Frisk Asker 2,Ringerike 2,1
2027-02-14,Jarhallen,U10,Tønsberg 1,Kongsberg 1,2
2027-02-14,Jarhallen,U10,Holmen 1,Sandefjord 1,0
2027-02-14,Jarhallen,U10,Jar 4,Frisk Asker 2,0
2027-02-14,Jarhallen,U10,Skien 1,Tønsberg 1,1
