date,arena,age_group,home,away,parallel_slot
2026-09-05,Ringerikshallen,JU12,Ringerike 1,Skien,0
2026-09-05,Ringerikshallen,JU12,Frisk Asker,Kongsberg,1
2026-09-05,Ringerikshallen,JU12,Ringerike 1,Kongsberg,0
2026-09-05,Ringerikshallen,JU12,Frisk Asker,Skien,1
2026-09-05,Ringerikshallen,JU12,Ringerike 1,Frisk Asker,0
2026-09-05,Ringerikshallen,JU12,Kongsberg,Skien,1
2026-09-05,Jarhallen,U10,Jar 1,Tønsberg 1,0
2026-09-05,Jarhallen,U10,Frisk Asker 1,Ringerike 1,1
2026-09-05,Jarhallen,U10,Holmen 1,Jutul 1,2
2026-09-05,Jarhallen,U10,Jar 1,Ringerike 1,0
2026-09-05,Jarhallen,U10,Jutul 1,Tønsberg 1,1
2026-09-05,Jarhallen,U10,Holmen 1,Frisk Asker 1,2
2026-09-05,Jarhallen,U10,Jar 1,Jutul 1,0
2026-09-05,Jarhallen,U10,Ringerike 1,Holmen 1,1
2026-09-05,Jarhallen,U10,Tønsberg 1,Frisk Asker 1,2
2026-09-05,Jarhallen,U10,Jar 1,Holmen 1,0
2026-09-05,Jarhallen,U10,Frisk Asker 1,Jutul 1,1
2026-09-05,Jarhallen,U10,Tønsberg 1,Ringerike 1,2
2026-09-05,Jarhallen,U10,Jar 1,Frisk Asker 1,0
2026-09-05,Jarhallen,U10,Holmen 1,Tønsberg 1,1
2026-09-05,Jarhallen,U10,Jutul 1,Ringerike 1,2
2026-09-05,Baerum ishall,U12,Jutul 1,Ringerike 1,0
2026-09-05,Baerum ishall,U12,Frisk Asker 1,Jar 1,1
2026-09-05,Baerum ishall,U12,Jutul 1,Jar 1,0
2026-09-05,Baerum ishall,U12,Frisk Asker 1,Ringerike 1,1
2026-09-05,Baerum ishall,U12,Jutul 1,Frisk Asker 1,0
2026-09-05,Baerum ishall,U12,Jar 1,Ringerike 1,1
2026-09-05,Baerum ishall,U9,Jutul 1,Jar 2,0
2026-09-05,Baerum ishall,U9,Jar 1,Tønsberg,1
2026-09-05,Baerum ishall,U9,Frisk Asker 1,Kongsberg,2
2026-09-05,Baerum ishall,U9,Holmen 1,Ringerike 1,3
2026-09-05,Baerum ishall,U9,Jutul 1,Tønsberg,0
2026-09-05,Baerum ishall,U9,Kongsberg,Jar 2,1
2026-09-05,Baerum ishall,U9,Ringerike 1,Jar 1,2
