date,arena,age_group,host_club,team_count,game_count,furthest_travel,cancelled,cancellation_reason
2026-09-05,Ringerikshallen,JU12,Ringerike,4,6,Skien~147km,nei,
2026-09-05,Jarhallen,U10,Jar,6,15,Tønsberg 1~92km,nei,
2026-09-05,Baerum ishall,U12,Jutul,4,6,Ringerike 1~44km,nei,
2026-09-05,Baerum ishall,U9,Jutul,8,28,Tønsberg~92km,nei,
2026-09-06,Jarhallen,U8,Jar,8,28,Skien~122km,nei,
2026-09-12,Skien ishall,JU10,Skien,5,10,Ringerike~147km,nei,
2026-09-12,Jarhallen,U10,Jar,6,15,Tønsberg 2~92km,nei,
2026-09-12,Ringerikshallen,U12,Ringerike,4,6,Frisk Asker 2~50km,nei,
2026-09-13,Jarhallen,U11,Jar,6,15,Tønsberg 1~92km,nei,
2026-09-13,Baerum ishall,U12,Jutul,4,6,Tønsberg~92km,nei,
2026-09-13,Baerum ishall,U9,Jutul,8,28,Ringerike 2~44km,nei,
2026-09-19,Holmenkollen ishall,JU8,Holmen,6,15,Skien~111km,nei,
2026-09-19,Tonsberghallen,U10,Tønsberg,6,15,Jar 3~92km,nei,
2026-09-20,Kongsberghallen,JU12,Kongsberg,4,6,Ringerike 2~85km,nei,
2026-09-20,Varner Arena / Askerhallen,U12,Frisk Asker,4,6,Ringerike 1~50km,nei,
2026-09-20,Jarhallen,U8,Jar,8,28,Tønsberg~92km,nei,
2026-09-26,Baerum ishall,U10,Jutul,6,15,Frisk Asker 4~12km,nei,
2026-09-26,Jarhallen,U11,Jar,6,15,Tønsberg 2~92km,nei,
2026-09-26,Holmenkollen ishall,U9,Holmen,8,28,Kongsberg~64km,nei,
2026-09-27,Baerum ishall,U11,Jutul,6,15,Ringerike 2~44km,nei,
2026-09-27,Tonsberghallen,U12,Tønsberg,4,6,Ringerike 2~131km,nei,
2026-09-27,Jarhallen,U7,Jar,8,28,Skien~122km,nei,
2026-10-03,Jarhallen,JU12,Jar,4,6,Tønsberg~92km,nei,
2026-10-03,Varner Arena / Askerhallen,U12,Frisk Asker,4,6,Tønsberg~82km,nei,
2026-10-03,Ringerikshallen,U9,Ringerike,8,28,Tønsberg~131km,nei,
2026-10-04,Jarhallen,U10,Jar,6,15,Sandefjord~114km,nei,
2026-10-04,Baerum ishall,U11,Jutul,6,15,Tønsberg 1~92km,nei,
2026-10-04,Kongsberghallen,U8,Kongsberg,8,28,Sandefjord~88km,nei,
2026-10-10,Ringerikshallen,JU10,Ringerike,5,10,Skien~147km,nei,
2026-10-10,Jarhallen,U10,Jar,6,15,Skien~122km,nei,
2026-10-10,Varner Arena / Askerhallen,U12,Frisk Asker,4,6,Ringerike 1~50km,nei,
2026-10-11,Varner Arena / Askerhallen,JU12,Frisk Asker,4,6,Skien~109km,nei,
2026-10-11,Sandefjord ishall,U10,Sandefjord Penguins,6,15,Ringerike 2~150km,nei,
2026-10-11,Baerum ishall,U9,Jutul,8,28,Ringerike 1~44km,nei,
2026-10-17,Tonsberghallen,U11,Tønsberg,6,15,Jar 2~92km,nei,
2026-10-17,Varner Arena / Askerhallen,U12,Frisk Asker,4,6,Ringerike 2~50km,nei,
2026-10-17,Holmenkollen ishall,U7,Holmen,8,28,Kongsberg~64km,nei,
2026-10-18,Skien ishall,U10,Skien,6,15,Ringerike 2~147km,nei,
2026-10-18,Jarhallen,U7,Jar,8,28,Skien~122km,nei,
2026-10-18,Baerum ishall,U8,Jutul,8,28,Skien~121km,nei,
2026-10-24,Ringerikshallen,U11,Ringerike,6,15,Tønsberg 2~131km,nei,
2026-10-24,Jarhallen,U12,Jar,4,6,Frisk Asker 4~14km,nei,
2026-10-24,Kongsberghallen,U9,Kongsberg,8,28,Ringerike 3~85km,nei,
2026-10-25,Baerum ishall,JU8,Jutul,6,15,Skien~121km,nei,
2026-10-25,Kongsberghallen,U10,Kongsberg,6,15,Sandefjord~88km,nei,
2026-10-25,Varner Arena / Askerhallen,U12,Frisk Asker,4,6,Ringerike 2~50km,nei,
2026-10-31,Jarhallen,U11,Jar,6,15,Tønsberg 1~92km,nei,
2026-10-31,Varner Arena / Askerhallen,U12,Frisk Asker,4,6,Tønsberg~82km,nei,
2026-10-31,Tonsberghallen,U9,Tønsberg,8,28,Ringerike 2~131km,nei,
2026-11-01,Skien ishall,JU12,Skien,4,6,Ringerike 1~147km,nei,
2026-11-01,Baerum ishall,U10,Jutul,6,15,Skien~121km,nei,
2026-11-01,Sandefjord ishall,U8,Sandefjord Penguins,8,28,Ringerike 1~150km,nei,
2026-11-07,Tonsberghallen,JU12,Tønsberg,4,6,Ringerike 2~131km,nei,
2026-11-07,Jarhallen,U12,Jar,4,6,Tønsberg~92km,nei,
2026-11-07,Sandefjord ishall,U7,Sandefjord Penguins,8,28,Jar 3~114km,nei,
2026-11-08,Jarhallen,U10,Jar,6,15,Ringerike 1~45km,nei,
2026-11-08,Baerum ishall,U11,Jutul,6,15,Frisk Asker 2~12km,nei,
2026-11-08,Kongsberghallen,U9,Kongsberg,8,28,Ringerike 1~85km,nei,
2026-11-14,Jarhallen,JU10,Jar,5,10,Skien~122km,nei,
2026-11-14,Ringerikshallen,JU12,Ringerike,4,6,Skien~147km,nei,
2026-11-14,Varner Arena / Askerhallen,U12,Frisk Asker,4,6,Jar 4~14km,nei,
2026-11-15,Baerum ishall,U11,Jutul,6,15,Tønsberg 1~92km,nei,
2026-11-15,Jarhallen,U12,Jar,4,6,Frisk Asker 3~14km,nei,
2026-11-15,Kongsberghallen,U8,Kongsberg,8,28,Sandefjord~88km,nei,
2026-11-21,Ringerikshallen,JU12,Ringerike,4,6,Skien~147km,nei,
2026-11-21,Jarhallen,U10,Jar,6,15,Skien~122km,nei,
2026-11-21,Holmenkollen ishall,U9,Holmen,8,28,Kongsberg~64km,nei,
2026-11-22,Jarhallen,U11,Jar,6,15,Tønsberg 2~92km,nei,
2026-11-22,Varner Arena / Askerhallen,U12,Frisk Asker,4,6,Ringerike 1~50km,nei,
2026-11-22,Skien ishall,U7,Skien,8,28,Jar 1~122km,nei,
2026-11-28,Skien ishall,JU10,Skien,5,10,Ringerike~147km,nei,
2026-11-28,Jarhallen,U10,Jar,6,15,Tønsberg 2~92km,nei,
2026-11-28,Sandefjord ishall,U8,Sandefjord Penguins,8,28,Jar 2~114km,nei,
2026-11-29,Jarhallen,U11,Jar,6,15,Tønsberg 1~92km,nei,
2026-11-29,Varner Arena / Askerhallen,U12,Frisk Asker,4,6,Ringerike 2~50km,nei,
2026-11-29,Baerum ishall,U9,Jutul,8,28,Tønsberg~92km,nei,
2026-12-05,Jarhallen,JU12,Jar,4,6,Tønsberg~92km,nei,
